ano,meses,dia,fechamentoibov,aberturaibov,maxibov,minibov,volibov,aberturausd,maxusd,minusd,fechamentousd,volusd
2010,8,19,66887.000000,67641.000000,67713.000000,66824.000000,1920000,1.703600,1.761400,1.703600,1.748800,0
2010,8,20,66677.000000,66892.000000,66892.000000,66337.000000,1414600,1.706600,1.762400,1.706600,1.760600,0
2010,8,23,65982.000000,66678.000000,67175.000000,65982.000000,1379600,1.708100,1.761400,1.708100,1.712800,0
2010,8,24,65156.000000,65946.000000,65946.000000,65013.000000,1604200,1.728100,1.778200,1.720000,1.761300,0
2010,8,25,64803.000000,65156.000000,65156.000000,64164.000000,1753000,1.721300,1.772000,1.721300,1.760900,0
2010,8,26,63867.000000,64802.000000,65271.000000,63804.000000,1773400,1.713600,1.762200,1.713600,1.764900,0
2010,8,27,65585.000000,63875.000000,65589.000000,63848.000000,1764000,1.712300,1.760100,1.712300,1.756300,0
2010,8,30,64261.000000,65585.000000,65585.000000,64255.000000,1286400,1.699700,1.756700,1.699700,1.699200,0
2010,8,31,65145.000000,64262.000000,65182.000000,64202.000000,3284800,1.709000,1.764700,1.709000,1.755000,0
2010,9,1,67073.000000,65154.000000,67073.000000,65154.000000,2509000,1.705200,1.757400,1.705200,1.750100,0
2010,9,2,66808.000000,67073.000000,67168.000000,66405.000000,1601200,1.694900,1.744000,1.694900,1.740000,0
2010,9,3,66679.000000,66812.000000,67673.000000,66541.000000,2019200,1.675600,1.724000,1.675600,1.739500,0
2010,9,6,66747.000000,66679.000000,66949.000000,66380.000000,651400,1.682500,1.731200,1.682500,1.674000,0
2010,9,8,66407.000000,66739.000000,66739.000000,66101.000000,1716000,1.680000,1.728500,1.680000,1.730000,0
2010,9,9,66624.000000,66411.000000,66807.000000,66353.000000,1438800,1.675700,1.723400,1.675700,1.719200,0
2010,9,10,66807.000000,66622.000000,66920.000000,66459.000000,1561000,1.673200,1.723000,1.673200,1.723200,0
2010,9,13,68031.000000,66807.000000,68142.000000,66807.000000,2144400,1.671800,1.719800,1.671800,1.668000,0
2010,9,14,67692.000000,68030.000000,68093.000000,67561.000000,2594000,1.659900,1.712900,1.659900,1.716500,0
2010,9,15,68107.000000,67690.000000,68107.000000,67119.000000,2234200,1.660000,1.718700,1.660000,1.701500,0
2010,9,16,67663.000000,68103.000000,68103.000000,67507.000000,1464400,1.673700,1.721300,1.673700,1.721200,0
2010,9,17,67089.000000,67665.000000,67773.000000,66993.000000,1629400,1.661300,1.714000,1.661300,1.717500,0
2010,9,20,68190.000000,67087.000000,68241.000000,67009.000000,1775200,1.671800,1.720100,1.671800,1.665500,0
2010,9,21,67719.000000,68189.000000,68255.000000,67528.000000,1734000,1.682800,1.731600,1.682800,1.726500,0
2010,9,22,68325.000000,67711.000000,68549.000000,67346.000000,2495200,1.661600,1.722800,1.661600,1.724500,0
2010,9,23,68794.000000,68321.000000,69601.000000,67892.000000,3305200,1.668700,1.723200,1.668700,1.674300,0
2010,9,24,68196.000000,68800.000000,69571.000000,68021.000000,3441000,1.672800,1.721000,1.672800,1.717700,0
2010,9,27,68816.000000,68197.000000,68926.000000,68011.000000,2138600,1.660600,1.711400,1.660600,1.664400,0
2010,9,28,69228.000000,68817.000000,69431.000000,68455.000000,1851800,1.659900,1.711400,1.659900,1.709000,0
2010,9,29,69228.000000,69225.000000,69420.000000,68958.000000,3067200,1.658000,1.710900,1.658000,1.709000,0
2010,9,30,69430.000000,69230.000000,69737.000000,68924.000000,2466200,1.650500,1.702000,1.650500,1.703500,0
2010,10,1,70229.000000,69438.000000,70243.000000,69228.000000,2452600,1.637600,1.686100,1.637600,1.696100,0
2010,10,4,70385.000000,70230.000000,70551.000000,70089.000000,1876800,1.639400,1.690600,1.639400,1.633500,0
2010,10,5,71283.000000,70390.000000,71285.000000,70390.000000,2713000,1.648000,1.697600,1.648000,1.697500,0
2010,10,6,70541.000000,71284.000000,71290.000000,70343.000000,2780600,1.613600,1.678600,1.613600,1.669000,0
2010,10,7,69918.000000,70545.000000,70739.000000,69314.000000,2587200,1.628300,1.680100,1.628300,1.684000,0
2010,10,8,70809.000000,69921.000000,70828.000000,69698.000000,2136000,1.631100,1.686600,1.631100,1.677800,0
2010,10,11,70946.000000,70810.000000,71111.000000,70810.000000,1169000,1.616300,1.665000,1.616300,1.625800,0
2010,10,13,71675.000000,70950.000000,71995.000000,70950.000000,2985000,1.620700,1.668100,1.606700,1.670000,0
2010,10,14,71692.000000,71676.000000,71961.000000,71264.000000,2633000,1.602900,1.661200,1.602900,1.652500,0
2010,10,15,71830.000000,71699.000000,72140.000000,71351.000000,2015200,1.609800,1.661800,1.609800,1.660600,0
2010,10,18,71736.000000,71830.000000,71884.000000,71341.000000,2111600,1.614500,1.673700,1.614500,1.606400,0
2010,10,19,69864.000000,71735.000000,71735.000000,69628.000000,2495200,1.622500,1.696900,1.622500,1.672000,0
2010,10,20,70405.000000,69863.000000,70720.000000,69814.000000,2407200,1.642100,1.679900,1.632400,1.690000,0
2010,10,21,69652.000000,70406.000000,70958.000000,68952.000000,2587800,1.626200,1.695500,1.626200,1.675000,0
2010,10,22,69530.000000,69658.000000,70312.000000,68847.000000,2421600,1.646900,1.698900,1.646900,1.694000,0
2010,10,25,69580.000000,69536.000000,70231.000000,69451.000000,3836000,1.655900,1.706800,1.655900,1.643900,0
2010,10,26,70740.000000,69582.000000,70834.000000,69055.000000,2576800,1.645800,1.706200,1.645800,1.699800,0
2010,10,27,70569.000000,70735.000000,70844.000000,70059.000000,2202600,1.653300,1.715100,1.653300,1.702300,0
2010,10,28,70320.000000,70573.000000,71263.000000,70234.000000,2230200,1.670300,1.718000,1.670300,1.719000,0
2010,10,29,70673.000000,70322.000000,70776.000000,70322.000000,2208800,1.654500,1.708900,1.654500,1.713500,0
2010,11,1,71561.000000,70686.000000,71751.000000,70673.000000,1555000,1.651300,1.705300,1.651200,1.646200,0
2010,11,3,71905.000000,71560.000000,72110.000000,71510.000000,2145800,1.654000,1.701600,1.654000,1.701000,0
2010,11,4,72996.000000,71910.000000,73103.000000,71910.000000,2175800,1.650900,1.687500,1.639900,1.689000,0
2010,11,5,72607.000000,72987.000000,72987.000000,72534.000000,1732000,1.620000,1.680800,1.620000,1.674700,0
2010,11,8,72657.000000,72607.000000,72875.000000,72336.000000,1077600,1.628600,1.697900,1.628600,1.679000,0
